brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen
1hd3,18th Street Brewery – Hammond,5417 N. Oakley Ave.,Hammond,IN,NA,http://www.18thstreetbrewery.com/,kitchen & beer,"-87.517525,41.6156",98416802,no,41.6156,-87.517525,no,no,yes
1hy5,18th Street Brewery – Gary,5725 Miller Ave.,Gary,IN,NA,http://www.18thstreetbrewery.com/,kitchen & beer,"-87.26886,41.599365",98428122,no,41.599365,-87.26886,no,no,yes
2W.3,25 West Brewing Co.,2 Stratford Dr.,Bloomingdale,IL,NA,https://www.facebook.com/25WestBrew/,NA,"-88.11923,41.950455",112710728,no,41.950455,-88.11923,no,no,no
3 .2,350 Brewing Co.,7144 W. 183rd St.,Tinley Park,IL,NA,https://350brewing.com,kitchen & beer,"-87.791595,41.55857",638598086,no,41.55857,-87.791595,no,no,yes
3l.6,3 Floyds Brewing Co.,9750 Indiana Pkwy.,Munster,IN,NA,http://www.3floyds.com/,"kitchen & beer, tour","-87.515755,41.536514",98443594,no,41.536514,-87.515755,no,yes,yes
5aa5,5 Rabbit Cervecería,6399 W. 74th St.,Bedford Park,IL,NA,http://www.5rabbitbrewery.com,tour,"-87.78018,41.757576",111811263,no,41.757576,-87.78018,no,yes,no
5tg3,51st Ward Brewing,NA,Westmont,IL,NA,https://twitter.com/51stwardbeer,NA,NA,NA,no,NA,NA,no,no,no
9 .8,9th Hour Brewing Co.,NA,Lindenhurst,IL,NA,http://www.9thhourbrewing.com/,NA,NA,NA,no,NA,NA,no,no,no
A .6,All Rise Brewing Co.,235 N. Ashland Ave.,Chicago,IL,West Loop,https://www.facebook.com/allrisebrewing,kitchen & beer,"-87.667,41.886288",111765451,yes,41.886288,-87.667,no,no,yes
Ae.6,Afterthought Brewing Co.,844 N. Ridge Ave.,Lombard,IL,NA,https://www.facebook.com/afterthoughtbrewing/,NA,"-88.022255,41.905796",638205695,no,41.905796,-88.022255,no,no,no
Ae.9,Alter Brewing Co.,2300 Wisconsin Ave.,Downers Grove,IL,NA,http://www.alterbrewing.com/,tap room,"-88.041275,41.789803",112533248,no,41.789803,-88.041275,yes,no,no
Aeg6,Andersonville Brewing,5402 N. Clark St.,Chicago,IL,Andersonville,http://hamburgermarys.com/chicago/brewing/,kitchen & beer,"-87.6683,41.980015",111761212,yes,41.980015,-87.6683,no,no,yes
Aig2,Ancient Owl Brewing,NA,Lombard,IL,NA,http://ancientowlbrewing.com,NA,NA,NA,no,NA,NA,no,no,no
ALb1,ALULU Brewpub,2011 S. Laflin St.,Chicago,IL,Pilsen,http://www.alulubrew.com/,kitchen & beer,"-87.66367,41.854782",111803409,yes,41.854782,-87.66367,no,no,yes
Amn5,Aleman,3304 N. Knox Ave.,Chicago,IL,Belmont Cragin,https://www.facebook.com/pages/Aleman-Brewing/264505396906121,NA,"-87.74291,41.940903",111755976,yes,41.940903,-87.74291,no,no,no
